Drug 1,Drug 2,Interaction Description,severity,desc_len
Doxorubicin,Digoxin,The serum concentration of Digoxin can be increased when it is combined with Doxorubicin.,Moderada,89
Dabrafenib,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Dabrafenib.,Moderada,88
Deferasirox,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Deferasirox.,Moderada,89
Rifabutin,Digitoxin,The metabolism of Digitoxin can be increased when combined with Rifabutin.,Moderada,74
Phenytoin,Digitoxin,The metabolism of Digitoxin can be increased when combined with Phenytoin.,Moderada,74
Rifampicin,Digitoxin,The metabolism of Digitoxin can be increased when combined with Rifampicin.,Moderada,75
Fosphenytoin,Digitoxin,The metabolism of Digitoxin can be increased when combined with Fosphenytoin.,Moderada,77
Carbamazepine,Digitoxin,The metabolism of Digitoxin can be increased when combined with Carbamazepine.,Moderada,78
Primidone,Digitoxin,The metabolism of Digitoxin can be increased when combined with Primidone.,Moderada,74
Phenobarbital,Digitoxin,The metabolism of Digitoxin can be increased when combined with Phenobarbital.,Moderada,78
Pentobarbital,Digitoxin,The metabolism of Digitoxin can be increased when combined with Pentobarbital.,Moderada,78
Nevirapine,Digitoxin,The metabolism of Digitoxin can be increased when combined with Nevirapine.,Moderada,75
Rifapentine,Digitoxin,The metabolism of Digitoxin can be increased when combined with Rifapentine.,Moderada,76
Bosentan,Digitoxin,The serum concentration of Digitoxin can be decreased when it is combined with Bosentan.,Moderada,88
Lumacaftor,Digitoxin,The serum concentration of Digitoxin can be decreased when it is combined with Lumacaftor.,Moderada,90
Crizotinib,Digitoxin,Crizotinib may decrease the cardiotoxic activities of Digitoxin.,Moderada,64
Rucaparib,Digitoxin,Rucaparib may decrease the cardiotoxic activities of Digitoxin.,Moderada,63
Bortezomib,Digitoxin,Bortezomib may decrease the cardiotoxic activities of Digitoxin.,Moderada,64
Betaxolol,Digitoxin,Betaxolol may increase the bradycardic activities of Digitoxin.,Moderada,63
Nilotinib,Digitoxin,Nilotinib may decrease the cardiotoxic activities of Digitoxin.,Moderada,63
Oxprenolol,Digitoxin,Oxprenolol may increase the bradycardic activities of Digitoxin.,Moderada,64
Metoprolol,Digitoxin,Metoprolol may increase the bradycardic activities of Digitoxin.,Moderada,64
Indapamide,Digitoxin,The risk or severity of adverse effects can be increased when Indapamide is combined with Digitoxin.,Moderada,100
Doxorubicin,Digitoxin,Doxorubicin may decrease the cardiotoxic activities of Digitoxin.,Moderada,65
Dabrafenib,Digitoxin,The serum concentration of Digitoxin can be decreased when it is combined with Dabrafenib.,Moderada,90
Deferasirox,Digitoxin,The serum concentration of Digitoxin can be decreased when it is combined with Deferasirox.,Moderada,91
Conivaptan,Digitoxin,The serum concentration of Digitoxin can be increased when it is combined with Conivaptan.,Moderada,90
Crizotinib,Deslanoside,Crizotinib may decrease the cardiotoxic activities of Deslanoside.,Moderada,66
Rucaparib,Deslanoside,Rucaparib may decrease the cardiotoxic activities of Deslanoside.,Moderada,65
Bortezomib,Deslanoside,Bortezomib may decrease the cardiotoxic activities of Deslanoside.,Moderada,66
Betaxolol,Deslanoside,Betaxolol may increase the bradycardic activities of Deslanoside.,Moderada,65
Nilotinib,Deslanoside,Nilotinib may decrease the cardiotoxic activities of Deslanoside.,Moderada,65
Oxprenolol,Deslanoside,Oxprenolol may increase the bradycardic activities of Deslanoside.,Moderada,66
Metoprolol,Deslanoside,Metoprolol may increase the bradycardic activities of Deslanoside.,Moderada,66
Indapamide,Deslanoside,The risk or severity of adverse effects can be increased when Indapamide is combined with Deslanoside.,Moderada,102
Doxorubicin,Deslanoside,Doxorubicin may decrease the cardiotoxic activities of Deslanoside.,Moderada,67
Dabrafenib,Deslanoside,Dabrafenib may decrease the cardiotoxic activities of Deslanoside.,Moderada,66
Diltiazem,Deslanoside,Diltiazem may increase the atrioventricular blocking (AV block) activities of Deslanoside.,Moderada,90
Verapamil,Deslanoside,Verapamil may increase the atrioventricular blocking (AV block) activities of Deslanoside.,Moderada,90
Vemurafenib,Deslanoside,Vemurafenib may decrease the cardiotoxic activities of Deslanoside.,Moderada,67
Ceritinib,Deslanoside,Ceritinib may decrease the cardiotoxic activities of Deslanoside.,Moderada,65
Dasatinib,Deslanoside,Dasatinib may decrease the cardiotoxic activities of Deslanoside.,Moderada,65
Crizotinib,Acetyldigitoxin,Crizotinib may decrease the cardiotoxic activities of Acetyldigitoxin.,Moderada,70
Rucaparib,Acetyldigitoxin,Rucaparib may decrease the cardiotoxic activities of Acetyldigitoxin.,Moderada,69
Bortezomib,Acetyldigitoxin,Bortezomib may decrease the cardiotoxic activities of Acetyldigitoxin.,Moderada,70
Betaxolol,Acetyldigitoxin,Betaxolol may increase the bradycardic activities of Acetyldigitoxin.,Moderada,69
Nilotinib,Acetyldigitoxin,Nilotinib may decrease the cardiotoxic activities of Acetyldigitoxin.,Moderada,69
Oxprenolol,Acetyldigitoxin,Oxprenolol may increase the bradycardic activities of Acetyldigitoxin.,Moderada,70
Metoprolol,Acetyldigitoxin,Metoprolol may increase the bradycardic activities of Acetyldigitoxin.,Moderada,70
Indapamide,Acetyldigitoxin,The risk or severity of adverse effects can be increased when Indapamide is combined with Acetyldigitoxin.,Moderada,106
Doxorubicin,Acetyldigitoxin,Doxorubicin may decrease the cardiotoxic activities of Acetyldigitoxin.,Moderada,71
Dabrafenib,Acetyldigitoxin,Dabrafenib may decrease the cardiotoxic activities of Acetyldigitoxin.,Moderada,70
Diltiazem,Acetyldigitoxin,Diltiazem may increase the atrioventricular blocking (AV block) activities of Acetyldigitoxin.,Moderada,94
Verapamil,Acetyldigitoxin,Verapamil may increase the atrioventricular blocking (AV block) activities of Acetyldigitoxin.,Moderada,94
Vemurafenib,Acetyldigitoxin,Vemurafenib may decrease the cardiotoxic activities of Acetyldigitoxin.,Moderada,71
Ceritinib,Acetyldigitoxin,Ceritinib may decrease the cardiotoxic activities of Acetyldigitoxin.,Moderada,69
Dasatinib,Acetyldigitoxin,Dasatinib may decrease the cardiotoxic activities of Acetyldigitoxin.,Moderada,69
Crizotinib,Ouabain,Crizotinib may decrease the cardiotoxic activities of Ouabain.,Moderada,62
Rucaparib,Ouabain,Rucaparib may decrease the cardiotoxic activities of Ouabain.,Moderada,61
Bortezomib,Ouabain,Bortezomib may decrease the cardiotoxic activities of Ouabain.,Moderada,62
Betaxolol,Ouabain,Betaxolol may increase the bradycardic activities of Ouabain.,Moderada,61
Nilotinib,Ouabain,Nilotinib may decrease the cardiotoxic activities of Ouabain.,Moderada,61
Oxprenolol,Ouabain,Oxprenolol may increase the bradycardic activities of Ouabain.,Moderada,62
Metoprolol,Ouabain,Metoprolol may increase the bradycardic activities of Ouabain.,Moderada,62
Indapamide,Ouabain,The risk or severity of adverse effects can be increased when Indapamide is combined with Ouabain.,Moderada,98
Doxorubicin,Ouabain,Doxorubicin may decrease the cardiotoxic activities of Ouabain.,Moderada,63
Dabrafenib,Ouabain,Dabrafenib may decrease the cardiotoxic activities of Ouabain.,Moderada,62
Diltiazem,Ouabain,Diltiazem may increase the atrioventricular blocking (AV block) activities of Ouabain.,Moderada,86
Verapamil,Ouabain,Verapamil may increase the atrioventricular blocking (AV block) activities of Ouabain.,Moderada,86
Vemurafenib,Ouabain,Vemurafenib may decrease the cardiotoxic activities of Ouabain.,Moderada,63
Ceritinib,Ouabain,Ceritinib may decrease the cardiotoxic activities of Ouabain.,Moderada,61
Dasatinib,Ouabain,Dasatinib may decrease the cardiotoxic activities of Ouabain.,Moderada,61
Vemurafenib,Gatifloxacin,The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Gatifloxacin.,Moderada,105
Azelastine,Gatifloxacin,Azelastine may increase the neuroexcitatory activities of Gatifloxacin.,Moderada,71
Sulfisoxazole,Gatifloxacin,Sulfisoxazole may increase the hypoglycemic activities of Gatifloxacin.,Moderada,71
Mifepristone,Gatifloxacin,Mifepristone may increase the hypoglycemic activities of Gatifloxacin.,Moderada,70
Quinine,Gatifloxacin,Quinine may increase the hypoglycemic activities of Gatifloxacin.,Moderada,65
Bromocriptine,Gatifloxacin,Bromocriptine may increase the hypoglycemic activities of Gatifloxacin.,Moderada,71
Chloroquine,Gatifloxacin,Chloroquine may increase the neuroexcitatory activities of Gatifloxacin.,Moderada,72
Celecoxib,Gatifloxacin,Celecoxib may increase the neuroexcitatory activities of Gatifloxacin.,Moderada,70
Olopatadine,Gatifloxacin,Olopatadine may increase the neuroexcitatory activities of Gatifloxacin.,Moderada,72
Vemurafenib,Rosoxacin,The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Rosoxacin.,Moderada,102
Azelastine,Rosoxacin,Azelastine may increase the neuroexcitatory activities of Rosoxacin.,Moderada,68
Sulfisoxazole,Rosoxacin,Sulfisoxazole may increase the hypoglycemic activities of Rosoxacin.,Moderada,68
Mifepristone,Rosoxacin,Mifepristone may increase the hypoglycemic activities of Rosoxacin.,Moderada,67
Quinine,Rosoxacin,Quinine may increase the hypoglycemic activities of Rosoxacin.,Moderada,62
Bromocriptine,Rosoxacin,Bromocriptine may increase the hypoglycemic activities of Rosoxacin.,Moderada,68
Chloroquine,Rosoxacin,Chloroquine may increase the neuroexcitatory activities of Rosoxacin.,Moderada,69
Celecoxib,Rosoxacin,Celecoxib may increase the neuroexcitatory activities of Rosoxacin.,Moderada,67
Olopatadine,Rosoxacin,Olopatadine may increase the neuroexcitatory activities of Rosoxacin.,Moderada,69
Lumacaftor,Levofloxacin,The serum concentration of Levofloxacin can be decreased when it is combined with Lumacaftor.,Moderada,93
Crizotinib,Levofloxacin,Crizotinib may increase the QTc-prolonging activities of Levofloxacin.,Moderada,70
Nilotinib,Levofloxacin,Nilotinib may increase the QTc-prolonging activities of Levofloxacin.,Moderada,69
Doxorubicin,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Doxorubicin.,Moderada,94
Ceritinib,Levofloxacin,Ceritinib may increase the QTc-prolonging activities of Levofloxacin.,Moderada,69
Azelastine,Levofloxacin,Azelastine may increase the neuroexcitatory activities of Levofloxacin.,Moderada,71
Quinine,Levofloxacin,Quinine may increase the hypoglycemic activities of Levofloxacin.,Moderada,65
Bromocriptine,Levofloxacin,Bromocriptine may increase the hypoglycemic activities of Levofloxacin.,Moderada,71
Celecoxib,Levofloxacin,Celecoxib may increase the neuroexcitatory activities of Levofloxacin.,Moderada,70
Olopatadine,Levofloxacin,Olopatadine may increase the neuroexcitatory activities of Levofloxacin.,Moderada,72
Quinidine,Levofloxacin,Quinidine may increase the QTc-prolonging activities of Levofloxacin.,Moderada,69
Lopinavir,Levofloxacin,Lopinavir may increase the QTc-prolonging activities of Levofloxacin.,Moderada,69
Ranolazine,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Ranolazine.,Moderada,93
Citalopram,Levofloxacin,Citalopram may increase the QTc-prolonging activities of Levofloxacin.,Moderada,70
Amiodarone,Levofloxacin,Amiodarone may increase the QTc-prolonging activities of Levofloxacin.,Moderada,70
Clarithromycin,Levofloxacin,Clarithromycin may increase the QTc-prolonging activities of Levofloxacin.,Moderada,74
Ziprasidone,Levofloxacin,Ziprasidone may increase the QTc-prolonging activities of Levofloxacin.,Moderada,71
Dronedarone,Levofloxacin,Dronedarone may increase the QTc-prolonging activities of Levofloxacin.,Moderada,71
Fluoxetine,Levofloxacin,Fluoxetine may increase the QTc-prolonging activities of Levofloxacin.,Moderada,70
Saquinavir,Levofloxacin,Saquinavir may increase the QTc-prolonging activities of Levofloxacin.,Moderada,70
Lovastatin,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Lovastatin.,Moderada,93
Dihydroergotamine,Levofloxacin,The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Levofloxacin.,Moderada,110
Quetiapine,Levofloxacin,Quetiapine may increase the QTc-prolonging activities of Levofloxacin.,Moderada,70
Thioridazine,Levofloxacin,Thioridazine may increase the QTc-prolonging activities of Levofloxacin.,Moderada,72
Vemurafenib,Trovafloxacin,The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Trovafloxacin.,Moderada,106
Azelastine,Trovafloxacin,Azelastine may increase the neuroexcitatory activities of Trovafloxacin.,Moderada,72
Sulfisoxazole,Trovafloxacin,Sulfisoxazole may increase the hypoglycemic activities of Trovafloxacin.,Moderada,72
Mifepristone,Trovafloxacin,Mifepristone may increase the hypoglycemic activities of Trovafloxacin.,Moderada,71
Quinine,Trovafloxacin,Quinine may increase the hypoglycemic activities of Trovafloxacin.,Moderada,66
Bromocriptine,Trovafloxacin,Bromocriptine may increase the hypoglycemic activities of Trovafloxacin.,Moderada,72
Chloroquine,Trovafloxacin,Chloroquine may increase the neuroexcitatory activities of Trovafloxacin.,Moderada,73
Celecoxib,Trovafloxacin,Celecoxib may increase the neuroexcitatory activities of Trovafloxacin.,Moderada,71
Olopatadine,Trovafloxacin,Olopatadine may increase the neuroexcitatory activities of Trovafloxacin.,Moderada,73
Vemurafenib,Nalidixic acid,The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Nalidixic acid.,Moderada,107
Azelastine,Nalidixic acid,Azelastine may increase the neuroexcitatory activities of Nalidixic acid.,Moderada,73
Sulfisoxazole,Nalidixic acid,Sulfisoxazole may increase the hypoglycemic activities of Nalidixic acid.,Moderada,73
Mifepristone,Nalidixic acid,Mifepristone may increase the hypoglycemic activities of Nalidixic acid.,Moderada,72
Quinine,Nalidixic acid,Quinine may increase the hypoglycemic activities of Nalidixic acid.,Moderada,67
Bromocriptine,Nalidixic acid,Bromocriptine may increase the hypoglycemic activities of Nalidixic acid.,Moderada,73
Chloroquine,Nalidixic acid,Chloroquine may increase the neuroexcitatory activities of Nalidixic acid.,Moderada,74
Celecoxib,Nalidixic acid,Celecoxib may increase the neuroexcitatory activities of Nalidixic acid.,Moderada,72
Olopatadine,Nalidixic acid,Olopatadine may increase the neuroexcitatory activities of Nalidixic acid.,Moderada,74
Crizotinib,Norfloxacin,Crizotinib may increase the QTc-prolonging activities of Norfloxacin.,Moderada,69
Nilotinib,Norfloxacin,Nilotinib may increase the QTc-prolonging activities of Norfloxacin.,Moderada,68
Vemurafenib,Norfloxacin,The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Norfloxacin.,Moderada,104
Ceritinib,Norfloxacin,Ceritinib may increase the QTc-prolonging activities of Norfloxacin.,Moderada,68
Azelastine,Norfloxacin,Azelastine may increase the neuroexcitatory activities of Norfloxacin.,Moderada,70
Sulfisoxazole,Norfloxacin,Sulfisoxazole may increase the QTc-prolonging activities of Norfloxacin.,Moderada,72
Quinine,Norfloxacin,Quinine may increase the QTc-prolonging activities of Norfloxacin.,Moderada,66
Bromocriptine,Norfloxacin,Bromocriptine may increase the hypoglycemic activities of Norfloxacin.,Moderada,70
Chloroquine,Norfloxacin,Chloroquine may increase the neuroexcitatory activities of Norfloxacin.,Moderada,71
Celecoxib,Norfloxacin,Celecoxib may increase the neuroexcitatory activities of Norfloxacin.,Moderada,69
Olopatadine,Norfloxacin,Olopatadine may increase the neuroexcitatory activities of Norfloxacin.,Moderada,71
Quinidine,Norfloxacin,Quinidine may increase the QTc-prolonging activities of Norfloxacin.,Moderada,68
Lopinavir,Norfloxacin,Lopinavir may increase the QTc-prolonging activities of Norfloxacin.,Moderada,68
Citalopram,Norfloxacin,Citalopram may increase the QTc-prolonging activities of Norfloxacin.,Moderada,69
Amiodarone,Norfloxacin,Amiodarone may increase the QTc-prolonging activities of Norfloxacin.,Moderada,69
Clarithromycin,Norfloxacin,Clarithromycin may increase the QTc-prolonging activities of Norfloxacin.,Moderada,73
Ziprasidone,Norfloxacin,Ziprasidone may increase the QTc-prolonging activities of Norfloxacin.,Moderada,70
Dronedarone,Norfloxacin,Dronedarone may increase the QTc-prolonging activities of Norfloxacin.,Moderada,70
Fluoxetine,Norfloxacin,Fluoxetine may increase the QTc-prolonging activities of Norfloxacin.,Moderada,69
Saquinavir,Norfloxacin,Saquinavir may increase the QTc-prolonging activities of Norfloxacin.,Moderada,69
Lovastatin,Norfloxacin,The serum concentration of Norfloxacin can be increased when it is combined with Lovastatin.,Moderada,92
Dihydroergotamine,Norfloxacin,The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Norfloxacin.,Moderada,109
Quetiapine,Norfloxacin,Quetiapine may increase the QTc-prolonging activities of Norfloxacin.,Moderada,69
Thioridazine,Norfloxacin,Thioridazine may increase the QTc-prolonging activities of Norfloxacin.,Moderada,71
Methadone,Norfloxacin,Methadone may increase the QTc-prolonging activities of Norfloxacin.,Moderada,68
Haloperidol,Norfloxacin,Haloperidol may increase the QTc-prolonging activities of Norfloxacin.,Moderada,70
Telithromycin,Norfloxacin,Telithromycin may increase the QTc-prolonging activities of Norfloxacin.,Moderada,72
Erythromycin,Norfloxacin,Erythromycin may increase the QTc-prolonging activities of Norfloxacin.,Moderada,71
Cyclosporine,Norfloxacin,The metabolism of Norfloxacin can be decreased when combined with Cyclosporine.,Moderada,79
Clozapine,Norfloxacin,Clozapine may increase the QTc-prolonging activities of Norfloxacin.,Moderada,68
Chlorpromazine,Norfloxacin,Chlorpromazine may increase the QTc-prolonging activities of Norfloxacin.,Moderada,73
Promazine,Norfloxacin,Promazine may increase the QTc-prolonging activities of Norfloxacin.,Moderada,68
Vemurafenib,Enoxacin,The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Enoxacin.,Moderada,101
Azelastine,Enoxacin,Azelastine may increase the neuroexcitatory activities of Enoxacin.,Moderada,67
Sulfisoxazole,Enoxacin,Sulfisoxazole may increase the hypoglycemic activities of Enoxacin.,Moderada,67
Mifepristone,Enoxacin,Mifepristone may increase the hypoglycemic activities of Enoxacin.,Moderada,66
Quinine,Enoxacin,Quinine may increase the hypoglycemic activities of Enoxacin.,Moderada,61
Bromocriptine,Enoxacin,Bromocriptine may increase the hypoglycemic activities of Enoxacin.,Moderada,67
Chloroquine,Enoxacin,Chloroquine may increase the neuroexcitatory activities of Enoxacin.,Moderada,68
Celecoxib,Enoxacin,Celecoxib may increase the neuroexcitatory activities of Enoxacin.,Moderada,66
Olopatadine,Enoxacin,Olopatadine may increase the neuroexcitatory activities of Enoxacin.,Moderada,68
Vemurafenib,Fleroxacin,The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Fleroxacin.,Moderada,103
Azelastine,Fleroxacin,Azelastine may increase the neuroexcitatory activities of Fleroxacin.,Moderada,69
Sulfisoxazole,Fleroxacin,Sulfisoxazole may increase the hypoglycemic activities of Fleroxacin.,Moderada,69
Mifepristone,Fleroxacin,Mifepristone may increase the hypoglycemic activities of Fleroxacin.,Moderada,68
Quinine,Fleroxacin,Quinine may increase the hypoglycemic activities of Fleroxacin.,Moderada,63
Bromocriptine,Fleroxacin,Bromocriptine may increase the hypoglycemic activities of Fleroxacin.,Moderada,69
Chloroquine,Fleroxacin,Chloroquine may increase the neuroexcitatory activities of Fleroxacin.,Moderada,70
Celecoxib,Fleroxacin,Celecoxib may increase the neuroexcitatory activities of Fleroxacin.,Moderada,68
Olopatadine,Fleroxacin,Olopatadine may increase the neuroexcitatory activities of Fleroxacin.,Moderada,70
Crizotinib,Gemifloxacin,Crizotinib may increase the QTc-prolonging activities of Gemifloxacin.,Moderada,70
Nilotinib,Gemifloxacin,Nilotinib may increase the QTc-prolonging activities of Gemifloxacin.,Moderada,69
Vemurafenib,Gemifloxacin,The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Gemifloxacin.,Moderada,105
Ceritinib,Gemifloxacin,Ceritinib may increase the QTc-prolonging activities of Gemifloxacin.,Moderada,69
Azelastine,Gemifloxacin,Azelastine may increase the neuroexcitatory activities of Gemifloxacin.,Moderada,71
Quinine,Gemifloxacin,Quinine may increase the hypoglycemic activities of Gemifloxacin.,Moderada,65
Bromocriptine,Gemifloxacin,Bromocriptine may increase the hypoglycemic activities of Gemifloxacin.,Moderada,71
Celecoxib,Gemifloxacin,Celecoxib may increase the neuroexcitatory activities of Gemifloxacin.,Moderada,70
Olopatadine,Gemifloxacin,Olopatadine may increase the neuroexcitatory activities of Gemifloxacin.,Moderada,72
Quinidine,Gemifloxacin,Quinidine may increase the QTc-prolonging activities of Gemifloxacin.,Moderada,69
Lopinavir,Gemifloxacin,Lopinavir may increase the QTc-prolonging activities of Gemifloxacin.,Moderada,69
Citalopram,Gemifloxacin,Citalopram may increase the QTc-prolonging activities of Gemifloxacin.,Moderada,70
Amiodarone,Gemifloxacin,Amiodarone may increase the QTc-prolonging activities of Gemifloxacin.,Moderada,70
Clarithromycin,Gemifloxacin,Clarithromycin may increase the QTc-prolonging activities of Gemifloxacin.,Moderada,74
Ziprasidone,Gemifloxacin,Ziprasidone may increase the QTc-prolonging activities of Gemifloxacin.,Moderada,71
Dronedarone,Gemifloxacin,Dronedarone may increase the QTc-prolonging activities of Gemifloxacin.,Moderada,71
Fluoxetine,Gemifloxacin,Fluoxetine may increase the QTc-prolonging activities of Gemifloxacin.,Moderada,70
Saquinavir,Gemifloxacin,Saquinavir may increase the QTc-prolonging activities of Gemifloxacin.,Moderada,70
Quetiapine,Gemifloxacin,Quetiapine may increase the QTc-prolonging activities of Gemifloxacin.,Moderada,70
Thioridazine,Gemifloxacin,Thioridazine may increase the QTc-prolonging activities of Gemifloxacin.,Moderada,72
Vemurafenib,Pefloxacin,The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Pefloxacin.,Moderada,103
Azelastine,Pefloxacin,Azelastine may increase the neuroexcitatory activities of Pefloxacin.,Moderada,69
Sulfisoxazole,Pefloxacin,Sulfisoxazole may increase the hypoglycemic activities of Pefloxacin.,Moderada,69
Mifepristone,Pefloxacin,Mifepristone may increase the hypoglycemic activities of Pefloxacin.,Moderada,68
Quinine,Pefloxacin,Quinine may increase the hypoglycemic activities of Pefloxacin.,Moderada,63
Bromocriptine,Pefloxacin,Bromocriptine may increase the hypoglycemic activities of Pefloxacin.,Moderada,69
Chloroquine,Pefloxacin,Chloroquine may increase the neuroexcitatory activities of Pefloxacin.,Moderada,70
Celecoxib,Pefloxacin,Celecoxib may increase the neuroexcitatory activities of Pefloxacin.,Moderada,68
Olopatadine,Pefloxacin,Olopatadine may increase the neuroexcitatory activities of Pefloxacin.,Moderada,70
Lumacaftor,Sparfloxacin,The serum concentration of Sparfloxacin can be decreased when it is combined with Lumacaftor.,Moderada,93
Azelastine,Sparfloxacin,Azelastine may increase the neuroexcitatory activities of Sparfloxacin.,Moderada,71
Sulfisoxazole,Sparfloxacin,Sulfisoxazole may increase the hypoglycemic activities of Sparfloxacin.,Moderada,71
Mifepristone,Sparfloxacin,Mifepristone may increase the hypoglycemic activities of Sparfloxacin.,Moderada,70
Quinine,Sparfloxacin,Quinine may increase the hypoglycemic activities of Sparfloxacin.,Moderada,65
Bromocriptine,Sparfloxacin,Bromocriptine may increase the hypoglycemic activities of Sparfloxacin.,Moderada,71
Chloroquine,Sparfloxacin,Chloroquine may increase the neuroexcitatory activities of Sparfloxacin.,Moderada,72
Celecoxib,Sparfloxacin,Celecoxib may increase the neuroexcitatory activities of Sparfloxacin.,Moderada,70
Olopatadine,Sparfloxacin,Olopatadine may increase the neuroexcitatory activities of Sparfloxacin.,Moderada,72
Vemurafenib,Cinoxacin,The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Cinoxacin.,Moderada,102
Azelastine,Cinoxacin,Azelastine may increase the neuroexcitatory activities of Cinoxacin.,Moderada,68
Sulfisoxazole,Cinoxacin,Sulfisoxazole may increase the hypoglycemic activities of Cinoxacin.,Moderada,68
Mifepristone,Cinoxacin,Mifepristone may increase the hypoglycemic activities of Cinoxacin.,Moderada,67
Quinine,Cinoxacin,Quinine may increase the hypoglycemic activities of Cinoxacin.,Moderada,62
Bromocriptine,Cinoxacin,Bromocriptine may increase the hypoglycemic activities of Cinoxacin.,Moderada,68
Chloroquine,Cinoxacin,Chloroquine may increase the neuroexcitatory activities of Cinoxacin.,Moderada,69
Celecoxib,Cinoxacin,Celecoxib may increase the neuroexcitatory activities of Cinoxacin.,Moderada,67
Olopatadine,Cinoxacin,Olopatadine may increase the neuroexcitatory activities of Cinoxacin.,Moderada,69
Phenytoin,Torasemide,Phenytoin may decrease the diuretic activities of Torasemide.,Moderada,61
Rifampicin,Torasemide,The metabolism of Torasemide can be increased when combined with Rifampicin.,Moderada,76
Fosphenytoin,Torasemide,Fosphenytoin may decrease the diuretic activities of Torasemide.,Moderada,64
Carbamazepine,Torasemide,The metabolism of Torasemide can be increased when combined with Carbamazepine.,Moderada,79
Primidone,Torasemide,The metabolism of Torasemide can be increased when combined with Primidone.,Moderada,75
Phenobarbital,Torasemide,The metabolism of Torasemide can be increased when combined with Phenobarbital.,Moderada,79
Pentobarbital,Torasemide,Pentobarbital may increase the hypotensive activities of Torasemide.,Moderada,68
Rifapentine,Torasemide,The metabolism of Torasemide can be increased when combined with Rifapentine.,Moderada,77
Bosentan,Torasemide,Bosentan may increase the hypotensive activities of Torasemide.,Moderada,63
Bortezomib,Torasemide,The risk or severity of adverse effects can be increased when Bortezomib is combined with Torasemide.,Moderada,101
Betaxolol,Torasemide,The risk or severity of adverse effects can be increased when Betaxolol is combined with Torasemide.,Moderada,100
Dabrafenib,Torasemide,The serum concentration of Torasemide can be decreased when it is combined with Dabrafenib.,Moderada,91
Conivaptan,Torasemide,The risk or severity of adverse effects can be increased when Conivaptan is combined with Torasemide.,Moderada,101
Azelastine,Torasemide,Azelastine may decrease the diuretic activities of Torasemide.,Moderada,62
Quinine,Torasemide,Quinine may increase the hypotensive activities of Torasemide.,Moderada,62
Bromocriptine,Torasemide,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Torasemide.,Moderada,104
