text,label
The serum concentration of the active metabolites of Ifosfamide can be reduced when Ifosfamide is used in combination with Ranolazine resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Clopidogrel can be reduced when Clopidogrel is used in combination with Isoniazid resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Tamoxifen can be reduced when Tamoxifen is used in combination with Panobinostat resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Nelfinavir can be reduced when Nelfinavir is used in combination with Pantoprazole resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Artesunate can be reduced when Artesunate is used in combination with Seratrodast resulting in a loss in efficacy.,Leve
Temoporfin may increase the photosensitizing activities of Verteporfin.,Leve
The serum concentration of the active metabolites of Ifosfamide can be reduced when Ifosfamide is used in combination with Itraconazole resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Isavuconazonium can be reduced when Isavuconazonium is used in combination with Carbamazepine resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Artesunate can be reduced when Artesunate is used in combination with Ezogabine resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Prasugrel can be reduced when Prasugrel is used in combination with Cobicistat resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Prasugrel can be reduced when Prasugrel is used in combination with Lopinavir resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Artemether can be reduced when Artemether is used in combination with Carbamazepine resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Isavuconazonium can be reduced when Isavuconazonium is used in combination with Phenobarbital resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Nelfinavir can be reduced when Nelfinavir is used in combination with Nevirapine resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Ifosfamide can be reduced when Ifosfamide is used in combination with Cyclosporine resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Clopidogrel can be reduced when Clopidogrel is used in combination with Dexlansoprazole resulting in a loss in efficacy.,Leve
The metabolism of Omeprazole can be decreased when combined with Ixazomib.,Moderada
The risk or severity of adverse effects can be increased when Trichloroethylene is combined with Tetrabenazine.,Moderada
The risk or severity of adverse effects can be increased when Methylergometrine is combined with Amlodipine.,Moderada
The risk or severity of adverse effects can be increased when Beclomethasone dipropionate is combined with Nalidixic acid.,Moderada
The risk or severity of adverse effects can be increased when Icatibant is combined with Deferasirox.,Moderada
Ximelagatran may increase the anticoagulant activities of Trolamine salicylate.,Moderada
The serum concentration of Pantoprazole can be decreased when it is combined with Bosentan.,Moderada
The metabolism of Amiodarone can be decreased when combined with Miconazole.,Moderada
The therapeutic efficacy of Scopolamine can be decreased when used in combination with Edrophonium.,Moderada
Methylene blue may increase the serotonergic activities of Fluoxetine.,Moderada
The metabolism of Manidipine can be decreased when combined with Bupropion.,Moderada
The metabolism of Tranylcypromine can be decreased when combined with Acetaminophen.,Moderada
The metabolism of Sulfadiazine can be decreased when combined with Dicoumarol.,Moderada
Cisapride may increase the QTc-prolonging activities of Galantamine.,Moderada
The metabolism of Telaprevir can be decreased when combined with Doxorubicin.,Moderada
The risk or severity of adverse effects can be increased when Codeine is combined with Zuclopenthixol.,Moderada
The risk or severity of adverse effects can be increased when Sevoflurane is combined with Butamben.,Moderada
The metabolism of Omeprazole can be decreased when combined with Dopamine.,Moderada
The risk or severity of adverse effects can be increased when Salicylamide is combined with Tenofovir disoproxil.,Moderada
The risk or severity of adverse effects can be increased when Clobetasol propionate is combined with Gatifloxacin.,Moderada
Melatonin may increase the central nervous system depressant (CNS depressant) activities of Magnesium sulfate.,Moderada
The risk or severity of adverse effects can be increased when Cabergoline is combined with Melperone.,Moderada
The serum concentration of Oxymetholone can be increased when it is combined with Rilpivirine.,Moderada
Orphenadrine may increase the central nervous system depressant (CNS depressant) activities of Procaine.,Moderada
The risk or severity of adverse effects can be increased when Loxapine is combined with Oxetacaine.,Moderada
The risk or severity of adverse effects can be increased when Propofol is combined with Penbutolol.,Moderada
The risk or severity of adverse effects can be increased when Promazine is combined with Thiopental.,Moderada
Lisinopril may increase the hypotensive activities of Terlipressin.,Moderada
The risk or severity of adverse effects can be increased when Remifentanil is combined with Imipramine.,Moderada
The metabolism of Boceprevir can be decreased when combined with Promazine.,Moderada
